SẢN PHẨM,NGÀNH HÀNG,GIÁ NY,GIÁ KM NORMAL,GIÁ KM CAMP,Chênh lệch giá so với KM,% GIẢM NORMAL,% GIẢM NY,Số Lượng MAX có thể bán,Đánh giá Deal,Tổng mã còn lại,"Deal Ngày 01 
28.11","Deal Ngày 02 
29.11","Deal Ngày 02 
30.11"
Laptop MSI Modern 14 F1MG-432VN,Laptop,"17,290,000","17,290,000","5,990,000","11,300,000",3%,17%,2,Layer 01,0,1,1,0
MB-GIG-X299X-AORUS-MAS,Mainboard,"12,990,000","11,990,000","3,990,000","8,000,000",67%,69%,1,Layer 01,0,1,0,0
"Màn hình ViewSonic VX2882-4KP 28"" IPS 4K 150Hz HDR10 USBC",LCD,"15,990,000","8,390,000","3,990,000","4,400,000",48%,75%,2,Layer 01,0,1,1,0
RAM-GSK-TRIDENTZ-RGB-1X16GB-5600-BLK-DDR5,RAM,"5,995,000","5,995,000","1,990,000","4,005,000",67%,67%,1,Layer 01,0,1,0,0
RAM-GSK-TRIDENTZ-RGB-1X16GB-5600-BLK-DDR5-CL30,RAM,"5,590,000","5,590,000","1,990,000","3,600,000",64%,64%,1,Layer 01,0,1,0,0
Màn hình Gaming AOPEN Fire Legend 25XV2Q F 390Hz,Laptop,"8,390,000","8,390,000","1,990,000","6,400,000",3%,17%,1,Layer 01,0,1,0,0
"Màn hình ASUS ProArt PA248QV 24"" IPS 75Hz 16:10 chuyên đồ họa",LCD,"6,290,000","4,890,000","1,990,000","2,900,000",22%,68%,2,Layer 01,0,1,1,0
Ghế Ergonomic Warrior Hero series WEC509 Black/Red,Peri,"4,390,000","3,390,000","1,490,000","1,900,000",56%,66%,6,Layer 01,0,2,2,2
"Màn hình MSI MAG 244F 24"" Rapid IPS 200Hz chuyên game",LCD,"3,990,000","2,690,000","1,490,000","1,200,000",33%,63%,9,Layer 01,0,5,2,2
RAM-KING-FURY-BEAST-RGB-32GB-6000-DDR5,RAM,"2,990,000","2,990,000","1,290,000","1,700,000",57%,57%,2,Layer 01,0,1,1,0
RAM-KING-FURY-1X16-3600-RGB-HX436C18FB4AK2-32,RAM,"2,990,000","2,695,000","1,290,000","1,405,000",52%,57%,1,Layer 01,0,1,0,0
RAM-TEAM-DELTA-1x8G-3600-RGB-BLACK,RAM,"2,190,000","2,190,000","990,000","1,200,000",55%,55%,1,Layer 01,0,1,0,0
RAM-TEAM-DELTA-1x8G-3600-RGB-WHITE,RAM,"2,190,000","2,190,000","990,000","1,200,000",55%,55%,1,Layer 01,0,1,0,0
"Màn hình Viewsonic VA2432A-H 24"" IPS 120Hz viền mỏng",LCD,"3,590,000","2,050,000","990,000","1,060,000",43%,72%,21,Layer 01,0,10,8,3
"Màn hình Acer KG240Y-X1 24"" IPS 200Hz Gsync chuyên game",LCD,"3,790,000","2,790,000","990,000","1,800,000",26%,74%,15,Layer 01,0,8,5,2
"Màn hình ASUS VZ249HG 24"" IPS 120Hz viền mỏng",LCD,"2,990,000","2,350,000","990,000","1,360,000",21%,67%,9,Layer 01,0,3,3,3
Tay cầm chơi game Razer Wolverine V2 Chroma White (Xbox Series X/S),Peri,"4,490,000","3,290,000","990,000","2,300,000",70%,78%,1,Layer 01,0,1,0,0
Bàn phím Leobog Hi86 TM (Trắng đen/ Nimbus V3 switch) HI8602,Peri,"2,600,000","2,090,000","990,000","1,100,000",53%,62%,2,Layer 01,0,1,1,0
Chuột Logitech G502 Hero Gaming,Peri,"1,090,000","820,000","390,000","430,000",52%,64%,15,Layer 01,0,8,5,2
ROG Gaming Charger Dock,Peri,"1,690,000","1,690,000","290,000","1,400,000",83%,83%,9,Layer 01,0,3,3,3
Máy lọc không khí Honeywell Air Touch V1,Peri,"1,250,000","700,000","290,000","410,000",59%,77%,9,Layer 01,0,3,3,3
Tai nghe HP HyperX Cloud III Wireless Red,Peri,"4,390,000","3,290,000","99,000","3,191,000",97%,98%,15,Layer 01,0,7,5,3
Phụ kiện Razer RIPSAW,Peri,"4,490,000","4,390,000","90,000","4,300,000",98%,98%,1,Layer 01,0,1,0,0
Giá treo màn hình máy tính North Bayou NB-F80-XV Xám Xanh,LCD,"490,000","350,000","9,000","341,000",29%,98%,21,Layer 01,0,7,7,7
