Thời gian,,T4,T5,T6,T7,CN,T2,T3,T4,T5,T6,T7,CN,T2,T3,T4,T5,T6,T7,CN,T2,T3
,,11/12,11/13,11/14,11/15,11/16,11/17,11/18,11/19,11/20,11/21,11/22,11/23,11/24,11/25,11/26,11/27,11/28,11/29,11/30,12/1,12/2
Cột mốc chính,,Teasing P1,,,,,Teasing P2,,,,,,,D-day -3,,,D-day - 1,Day 1,Day 2,Day 3,Recap,
Cột mốc phụ,,,,,Sàn,,,,Quốc tế Đàn Ông,Nhà giáo Việt Nam,,,,,Sàn,,,,,,,
Content Pillars,Thể Lệ chương trình,,,,,,"Post: Giới thiệu tổng quan chương trình
Format: Bộ Ảnh
Nội dung chính: Chính thức khởi động Landing Page Black Friday - Hiển thị một số Deal Siêu hot","Post: Cách thức mua hàng
Format: Bộ Ảnh
Nội dung chính: Hướng dẫn cách săn deal - mua hàng","Post: Thể lệ mua Layer 1
Format: Bộ Ảnh","Post: Thể lệ mua Layer 2
Format: Bộ Ảnh","Post: Voucher 10 triệu tặng bàn phím Aulabubu
Format: Bộ Ảnh","Post: Thể lệ Give Away - Livestream mua màn Oled
Format: Bộ Ảnh",,"Post: Thể lệ mua Xếp Hàng
Format: Bộ Ảnh","Post: Thể lệ mua Gửi Xe
Format: Bộ Ảnh","Post: Thể lệ Give Away - Livestream
Format: Bộ Ảnh",,,,,,
,List Deal Sản Phẩm,,,,,,Teasing Deal - Layer 01 (Phủ bằng SKUs - Tăng số lượng Post),Teasing Deal - Layer 01 (Phủ bằng SKUs - Tăng số lượng Post),Teasing Deal - Layer 01 (Phủ bằng SKUs - Tăng số lượng Post),Teasing Deal - Layer 01 (Phủ bằng SKUs - Tăng số lượng Post),Teasing Deal - Layer 01 (Phủ bằng SKUs - Tăng số lượng Post),Teasing Deal - Layer 01 (Phủ bằng SKUs - Tăng số lượng Post),Teasing Deal - Layer 01 (Phủ bằng SKUs - Tăng số lượng Post),Teasing Deal - Layer 01 (Phủ bằng SKUs - Tăng số lượng Post),Teasing Deal - Layer 01 (Phủ bằng SKUs - Tăng số lượng Post),Teasing Deal - Layer 01 (Phủ bằng SKUs - Tăng số lượng Post),,,,,,
,,,,,,,Teasing Deal - Layer 02 (Phủ bằng SKUs - Tăng số lượng Post),Teasing Deal - Layer 02 (Phủ bằng SKUs - Tăng số lượng Post),Teasing Deal - Layer 02 (Phủ bằng SKUs - Tăng số lượng Post),Teasing Deal - Layer 02 (Phủ bằng SKUs - Tăng số lượng Post),Teasing Deal - Layer 02 (Phủ bằng SKUs - Tăng số lượng Post),Teasing Deal - Layer 02 (Phủ bằng SKUs - Tăng số lượng Post),Teasing Deal - Layer 02 (Phủ bằng SKUs - Tăng số lượng Post),Teasing Deal - Layer 02 (Phủ bằng SKUs - Tăng số lượng Post),Teasing Deal - Layer 02 (Phủ bằng SKUs - Tăng số lượng Post),Teasing Deal - Layer 02 (Phủ bằng SKUs - Tăng số lượng Post),,,,,,
,Tạo Tương Tác - Viral,,,,,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,
,,,,,,,GA Quốc tế đàn ông - Em ơi tụi n có - Kéo dài đến hẳn BF,,,,,,,GA Màn hình Viewsonic mở màn tuần lễ Black Friday,,,,,,,,
,Trong Chương Trình,,,,,,,,,,,,,,,,,Post Đếm Ngược D-Day,Post Update Tình hình Săn Sales - Xếp hàng trong đêm,Post Update Tình hình Săn Sales - Xếp hàng trong đêm,,
,,,,,,,,,,,,,,,,,,Post Update Tình hình Săn Sales - Xếp hàng trong đêm,Post Update Tình hình Săn Sales - Xếp hàng trong đêm,Post Update Tình hình Săn Sales - Xếp hàng trong đêm,,
,,,,,,,,,,,,,,,,,Post Update Deal Ngày 01 - Final,Post Update Deal Ngày 02 - Final,Post Update Deal Ngày 03 - Final,,,
,,,,,,,,,,,,,,,,,,Livestream công bố GA Màn hình - D1,Livestream công bố GA Màn hình - D2,,,
